,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
947,Italy,Urban population (1000 inhab),38948.261,40317.902,41027.723,41637.312
948,Italy,Population density (inhab/km2),189.7607984337,194.9554025353,198.7106623747,201.3463230902
949,Italy,GDP per capita (current US$/inhab),21984.971489,37262.659984,34939.612824,33049.354269
950,Italy,Human Development Index (HDI) [highest = 1] (-),0.842,0.866,0.874,0.881
951,Italy,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1804,0.1542,0.0856666667,0.0676
952,Italy,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),733.977386064,571.9121481651,569.9243607341,563.4731265198
953,Italy,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
954,Italy,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
955,Italy,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
957,Jamaica,Rural population (1000 inhab),1287.06,1299.356,1303.108,1289.697
958,Jamaica,Urban population (1000 inhab),1408.386,1476.111,1537.884,1600.602
959,Jamaica,Population density (inhab/km2),245.0268425842,251.8859872611,258.6107370337,265.7732484076
960,Jamaica,GDP per capita (current US$/inhab),3605.711991,4611.691572,5211.875688,5122.769551
961,Jamaica,Human Development Index (HDI) [highest = 1] (-),0.683,0.71,0.722,0.725
962,Jamaica,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4602,0.4642,0.459,0.43
963,Jamaica,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),322.1765190984,365.2558518904,491.6943750186,463.5640060695
964,Jamaica,Total population with access to safe drinking-water (JMP) (%),93.5,93.7,93.8,93.8
965,Jamaica,Rural population with access to safe drinking-water (JMP) (%),89.0,89.2,89.4,89.4
966,Jamaica,Urban population with access to safe drinking-water (JMP) (%),97.7,97.6,97.5,97.5
968,Japan,Rural population (1000 inhab),23473.865,15233.582,11368.012,10791.174
969,Japan,Urban population (1000 inhab),104428.752,113271.669,117058.372,116693.276
970,Japan,Population density (inhab/km2),338.4399640107,339.9943296378,339.7808524712,337.3355689605
971,Japan,GDP per capita (current US$/inhab),32173.819008,35136.800721,48301.703498,38121.908661
972,Japan,Human Development Index (HDI) [highest = 1] (-),0.862,0.88,0.895,0.913
973,Japan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1412,0.1382,0.1326666667,0.1326
974,Japan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),661.8810128254,645.7886219594,634.2293658849,638.8098764164
975,Japan,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
976,Japan,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
977,Japan,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
979,Jordan,Rural population (1000 inhab),1147.614,1091.804,944.332,897.788
980,Jordan,Urban population (1000 inhab),4139.874,5101.387,7048.241,8804.565
981,Jordan,Population density (inhab/km2),59.89531426,70.4582113089,90.5727944469,109.5593708016
982,Jordan,GDP per capita (current US$/inhab),1831.211668,2791.649653,3870.49539,4195.802289
983,Jordan,Human Development Index (HDI) [highest = 1] (-),0.706,0.735,0.726,0.722
984,Jordan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6122,0.544,0.4926666667,0.4734
985,Jordan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),151.0106429593,148.9941297592,104.9448687151,106.694946976
986,Jordan,Total population with access to safe drinking-water (JMP) (%),96.8,96.9,96.9,96.9
987,Jordan,Rural population with access to safe drinking-water (JMP) (%),91.2,91.7,92.1,92.3
988,Jordan,Urban population with access to safe drinking-water (JMP) (%),98.2,98.0,97.9,97.8
990,Kazakhstan,Rural population (1000 inhab),6609.578,6873.733,7280.687,7766.771
991,Kazakhstan,Urban population (1000 inhab),8496.067,8967.622,9640.492,10437.728
992,Kazakhstan,Population density (inhab/km2),5.4960504973,5.7624514661,6.1475742229,6.6351079782
993,Kazakhstan,GDP per capita (current US$/inhab),1630.952973,6618.74665,12292.203094,9162.888194
994,Kazakhstan,Human Development Index (HDI) [highest = 1] (-),0.713,0.758,0.782,0.813
995,Kazakhstan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.3918,0.3566,0.328,0.2672
996,Kazakhstan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1486.7601822306,1452.6078798102,1277.1374546496,1352.3768973915
997,Kazakhstan,Total population with access to safe drinking-water (JMP) (%),93.7,93.4,93.1,92.9
998,Kazakhstan,Rural population with access to safe drinking-water (JMP) (%),88.1,87.0,86.0,85.6
999,Kazakhstan,Urban population with access to safe drinking-water (JMP) (%),98.2,98.7,99.2,99.4
1001,Kenya,Rural population (1000 inhab),26374.762,29547.088,33007.2,36498.515
1002,Kenya,Urban population (1000 inhab),6839.247,8538.821,10639.429,13201.347
1003,Kenya,Population density (inhab/km2),58.1555542154,66.691820735,76.405512001,86.5329737926
1004,Kenya,GDP per capita (current US$/inhab),454.39481,839.137441,1154.961092,1584.659911
1005,Kenya,Human Development Index (HDI) [highest = 1] (-),0.45,0.507,0.545,0.574
1006,Kenya,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.666,0.6276,0.5673333333,0.5522
1007,Kenya,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),61.230653201,73.1966060691,72.587919208,80.2849126768
1008,Kenya,Total population with access to safe drinking-water (JMP) (%),53.5,57.7,61.6,63.2
1009,Kenya,Rural population with access to safe drinking-water (JMP) (%),44.9,49.9,54.8,56.8
1010,Kenya,Urban population with access to safe drinking-water (JMP) (%),86.6,84.6,82.5,81.6
1023,Kuwait,Rural population (1000 inhab),0.0,0.0,0.0,0.0
1024,Kuwait,Urban population (1000 inhab),2143.833,2503.41,3395.556,4136.528
1025,Kuwait,Population density (inhab/km2),119.9212682379,140.5173400673,187.9266554433,227.614983165
1026,Kuwait,GDP per capita (current US$/inhab),17788.585601,45791.727107,51257.349198,28897.241961
1027,Kuwait,Human Development Index (HDI) [highest = 1] (-),0.788,0.789,0.8,0.809
1028,Kuwait,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4978,0.3294,0.28,0.3873
1029,Kuwait,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),427.3286298483,414.8407942469,332.6626942235,308.177882246
1030,Kuwait,Total population with access to safe drinking-water (JMP) (%),99.0,99.0,99.0,99.0
1031,Kuwait,Rural population with access to safe drinking-water (JMP) (%),99.0,99.0,99.0,99.0
1032,Kuwait,Urban population with access to safe drinking-water (JMP) (%),99.0,99.0,99.0,99.0
1034,Kyrgyzstan,Rural population (1000 inhab),3229.231,3358.424,3612.53,3860.7
1035,Kyrgyzstan,Urban population (1000 inhab),1761.456,1831.296,1981.578,2184.417
1036,Kyrgyzstan,Population density (inhab/km2),24.963655914,25.9284421105,28.1149087272,30.956404101
1037,Kyrgyzstan,GDP per capita (current US$/inhab),321.73864,732.712087,1180.730955,1274.241408
1038,Kyrgyzstan,Human Development Index (HDI) [highest = 1] (-),0.604,0.628,0.649,0.671
1039,Kyrgyzstan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5644,0.5452,0.3483333333,0.3528
1040,Kyrgyzstan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1881.004102388,1531.0570651293,1362.6072119278,1237.5331860033
1041,Kyrgyzstan,Total population with access to safe drinking-water (JMP) (%),80.0,83.8,87.6,90.0
1042,Kyrgyzstan,Rural population with access to safe drinking-water (JMP) (%),71.1,76.9,82.7,86.2
1043,Kyrgyzstan,Urban population with access to safe drinking-water (JMP) (%),96.2,96.4,96.6,96.7
1045,Lao People's Democratic Republic,Rural population (1000 inhab),4175.525,4265.018,4409.554,4501.174
1046,Lao People's Democratic Republic,Urban population (1000 inhab),1321.748,1684.769,2005.615,2356.986
1047,Lao People's Democratic Republic,Population density (inhab/km2),23.1978293919,25.1053547297,27.2150760135,29.3624788851
1048,Lao People's Democratic Republic,GDP per capita (current US$/inhab),346.875223,768.096132,1588.633919,2457.379901
1049,Lao People's Democratic Republic,Human Development Index (HDI) [highest = 1] (-),0.48,0.521,0.569,0.602
1050,Lao People's Democratic Republic,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5896,0.5576,0.5366666667,0.534
1051,Lao People's Democratic Republic,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,739.9560097077,1034.0552375425,1052.7776719087
1052,Lao People's Democratic Republic,Total population with access to safe drinking-water (JMP) (%),50.1,61.2,71.5,75.7
1053,Lao People's Democratic Republic,Rural population with access to safe drinking-water (JMP) (%),42.4,53.7,64.9,69.4
1054,Lao People's Democratic Republic,Urban population with access to safe drinking-water (JMP) (%),74.1,78.9,83.7,85.6
1056,Latvia,Rural population (1000 inhab),749.886,705.716,663.369,622.436
1057,Latvia,Urban population (1000 inhab),1582.606,1492.802,1403.005,1327.234
1058,Latvia,Population density (inhab/km2),36.1296468401,34.0472273854,32.0877171216,30.216772495
1059,Latvia,GDP per capita (current US$/inhab),4085.70217,14054.779299,13635.782216,15527.246924
1060,Latvia,Human Development Index (HDI) [highest = 1] (-),0.76,0.818,0.825,0.849
1061,Latvia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2656,0.2292,0.232,0.1666
1062,Latvia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),109.8806874938,99.2680460163,125.7602647829,92.8195779092
1063,Latvia,Total population with access to safe drinking-water (JMP) (%),98.3,98.7,99.1,99.3
1064,Latvia,Rural population with access to safe drinking-water (JMP) (%),95.6,96.7,97.7,98.3
1065,Latvia,Urban population with access to safe drinking-water (JMP) (%),99.6,99.7,99.8,99.8
1078,Lesotho,Rural population (1000 inhab),1510.496,1520.337,1552.732,1614.034
1079,Lesotho,Urban population (1000 inhab),391.816,461.95,537.196,619.305
1080,Lesotho,Population density (inhab/km2),66.8586627141,65.4453886693,66.3700263505,68.8911067194
1081,Lesotho,GDP per capita (current US$/inhab),393.503601,918.545265,1281.625455,1154.64483
1082,Lesotho,Human Development Index (HDI) [highest = 1] (-),0.44,0.441,0.48,0.514
1083,Lesotho,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5928,0.5736,0.5583333333,0.5406
1084,Lesotho,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),21.5781723485,22.0441466751,21.7370374304,20.9415672898
1085,Lesotho,Total population with access to safe drinking-water (JMP) (%),79.3,80.3,81.2,81.8
1086,Lesotho,Rural population with access to safe drinking-water (JMP) (%),75.7,76.2,76.7,77.0
1087,Lesotho,Urban population with access to safe drinking-water (JMP) (%),93.3,93.8,94.3,94.6
1089,Liberia,Rural population (1000 inhab),1684.052,1870.927,2150.015,2332.953
1090,Liberia,Urban population (1000 inhab),1378.811,1642.005,2031.548,2398.953
1091,Liberia,Population density (inhab/km2),27.1592798779,31.0847714824,37.1344078298,42.2216575379
1092,Liberia,GDP per capita (current US$/inhab),224.196403,270.144711,414.677478,453.383621
1093,Liberia,Human Development Index (HDI) [highest = 1] (-),0.423,0.431,0.455,0.466
1094,Liberia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6828,0.6678,0.6556666667,0.6512
1095,Liberia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),45.2404165795,42.1443532199,35.2785372295,31.0278578699
1096,Liberia,Total population with access to safe drinking-water (JMP) (%),64.2,68.5,72.9,75.6
1097,Liberia,Rural population with access to safe drinking-water (JMP) (%),52.9,56.7,60.4,62.6
1098,Liberia,Urban population with access to safe drinking-water (JMP) (%),77.9,82.0,86.2,88.6
1100,Libya,Rural population (1000 inhab),1291.813,1347.074,1331.872,1286.565
1101,Libya,Urban population (1000 inhab),4235.702,4623.288,4866.386,5088.051
1102,Libya,Population density (inhab/km2),3.1434857974,3.3956528411,3.5723814179,3.7400252339
1103,Libya,GDP per capita (current US$/inhab),3964.286023,10496.525432,16321.621458,3940.67063
1104,Libya,Human Development Index (HDI) [highest = 1] (-),0.737,0.754,0.742,0.704
1105,Libya,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.315,0.2363333333,0.134
1106,Libya,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),821.3934001062,860.8794637485,927.495025254,885.9207588709
1107,Libya,Total population with access to safe drinking-water (JMP) (%),71.2,71.2,71.2,71.2
1108,Libya,Rural population with access to safe drinking-water (JMP) (%),68.3,68.3,68.3,68.3
1109,Libya,Urban population with access to safe drinking-water (JMP) (%),72.1,72.1,72.1,72.1
1122,Lithuania,Rural population (1000 inhab),1142.699,1083.093,1006.428,938.898
1123,Lithuania,Urban population (1000 inhab),2302.055,2176.998,2030.818,1951.399
1124,Lithuania,Population density (inhab/km2),52.7528790199,49.9078101072,46.639525268,43.583831143
1125,Lithuania,GDP per capita (current US$/inhab),4144.097841,12187.262977,14105.718512,16521.107737
1126,Lithuania,Human Development Index (HDI) [highest = 1] (-),0.778,0.826,0.835,0.866
1127,Lithuania,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.1826,0.133,0.1247
1128,Lithuania,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),753.2197313831,696.230108807,230.0226713315,91.0236612317
1129,Lithuania,Total population with access to safe drinking-water (JMP) (%),91.8,93.8,95.8,96.6
1130,Lithuania,Rural population with access to safe drinking-water (JMP) (%),81.3,85.1,88.9,90.4
1131,Lithuania,Urban population with access to safe drinking-water (JMP) (%),97.0,98.1,99.2,99.7
1133,Luxembourg,Rural population (1000 inhab),65.234,59.77,57.239,54.103
1134,Luxembourg,Urban population (1000 inhab),378.492,414.952,475.148,529.352
1135,Luxembourg,Population density (inhab/km2),171.3227799228,183.3648648649,204.9640926641,228.5366795367
1136,Luxembourg,GDP per capita (current US$/inhab),53225.195448,107190.150392,106460.078452,110003.247419
1137,Luxembourg,Human Development Index (HDI) [highest = 1] (-),0.869,0.888,0.892,0.908
1138,Luxembourg,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1718,0.1768,0.162,0.0999
1139,Luxembourg,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),127.242733333,104.7115608248,83.8267179297,77.0387389975
1140,Luxembourg,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1141,Luxembourg,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1142,Luxembourg,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1155,Malawi,Rural population (1000 inhab),10237.35,11732.355,13551.942,15509.514
1156,Malawi,Urban population (1000 inhab),1776.361,2108.614,2545.363,3112.59
1157,Malawi,Population density (inhab/km2),98.8661715057,112.6080857529,129.9461090479,149.1407494936
1158,Malawi,GDP per capita (current US$/inhab),290.967701,320.276526,355.428098,340.870048
1159,Malawi,Human Development Index (HDI) [highest = 1] (-),0.363,0.394,0.452,0.482
1160,Malawi,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.632,0.5936666667,0.6111
1161,Malawi,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),114.2272819162,101.6953776723,88.1267003182,76.7846604531
1162,Malawi,Total population with access to safe drinking-water (JMP) (%),66.2,75.5,84.7,90.2
1163,Malawi,Rural population with access to safe drinking-water (JMP) (%),61.6,72.2,82.8,89.1
1164,Malawi,Urban population with access to safe drinking-water (JMP) (%),93.3,94.2,95.1,95.7
1166,Malaysia,Rural population (1000 inhab),8746.392,8424.428,8087.429,7764.814
1167,Malaysia,Urban population (1000 inhab),15452.419,18201.417,21083.027,23859.45
1168,Malaysia,Population density (inhab/km2),73.1813512696,80.775,87.8723972189,94.0285550181
1169,Malaysia,GDP per capita (current US$/inhab),4167.375261,7269.235885,10779.504483,10085.77479
1170,Malaysia,Human Development Index (HDI) [highest = 1] (-),0.724,0.751,0.782,0.802
1171,Malaysia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.302,0.2816,0.2296666667,0.209
1172,Malaysia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),226.6982551628,205.386377509,188.7974513995,176.4366647992
1173,Malaysia,Total population with access to safe drinking-water (JMP) (%),94.8,96.4,97.9,98.2
1174,Malaysia,Rural population with access to safe drinking-water (JMP) (%),89.3,90.8,92.4,93.0
1175,Malaysia,Urban population with access to safe drinking-water (JMP) (%),97.9,99.0,100.0,100.0
1177,Maldives,Rural population (1000 inhab),205.915,217.772,242.277,264.503
1178,Maldives,Urban population (1000 inhab),88.426,118.298,143.926,171.827
1179,Maldives,Population density (inhab/km2),980.62,1117.23,1324.1233333333,1654.6733333333
1180,Maldives,GDP per capita (current US$/inhab),3102.950282,5559.506828,7473.178449,10854.169233
1181,Maldives,Human Development Index (HDI) [highest = 1] (-),0.619,0.647,0.688,0.716
1182,Maldives,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3944,0.3053333333,0.2427
1183,Maldives,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),21.330042898,17.2478731057,14.8525942951,11.8855282614
1184,Maldives,Total population with access to safe drinking-water (JMP) (%),95.9,97.5,98.6,98.6
1185,Maldives,Rural population with access to safe drinking-water (JMP) (%),94.2,96.3,97.9,97.9
1186,Maldives,Urban population with access to safe drinking-water (JMP) (%),99.8,99.7,99.5,99.5
1188,Mali,Rural population (1000 inhab),8169.81,9078.96,9988.283,10833.712
1189,Mali,Urban population (1000 inhab),3469.119,4596.646,6018.387,7708.268
1190,Mali,Population density (inhab/km2),9.3670219886,11.0075585193,12.8847160516,14.9270918166
1191,Mali,GDP per capita (current US$/inhab),334.2024,595.636854,777.347632,829.238323
1192,Mali,Human Development Index (HDI) [highest = 1] (-),0.33,0.367,0.408,0.426
1193,Mali,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.7066,0.698,0.6773333333,0.6767
1194,Mali,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),439.2969612164,379.88599611,324.5408991623,280.136103148
1195,Mali,Total population with access to safe drinking-water (JMP) (%),50.6,60.8,70.9,77.0
1196,Mali,Rural population with access to safe drinking-water (JMP) (%),40.8,49.7,58.7,64.1
1197,Mali,Urban population with access to safe drinking-water (JMP) (%),73.9,82.6,91.3,96.5
1199,Malta,Rural population (1000 inhab),28.474,25.207,24.36,23.498
1200,Malta,Urban population (1000 inhab),372.829,385.117,396.429,407.337
1201,Malta,Population density (inhab/km2),1245.99375,1274.5375,1318.153125,1368.540625
1202,Malta,GDP per capita (current US$/inhab),11131.599034,19327.066778,21892.388462,29664.307806
1203,Malta,Human Development Index (HDI) [highest = 1] (-),0.797,0.831,0.854,0.883
1204,Malta,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.2688,0.2356666667,0.2266
1205,Malta,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),135.29074971,115.2106374099,94.5925762608,145.684385511
1206,Malta,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1207,Malta,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1208,Malta,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1221,Mauritania,Rural population (1000 inhab),1738.864,1858.724,1976.397,2085.278
1222,Mauritania,Urban population (1000 inhab),1134.364,1453.941,1853.842,2334.906
1223,Mauritania,Population density (inhab/km2),2.6953517027,3.1071281653,3.5961530998,4.1550111575
1224,Mauritania,GDP per capita (current US$/inhab),592.611716,1294.647068,1642.687687,1597.806534
1225,Mauritania,Human Development Index (HDI) [highest = 1] (-),0.451,0.479,0.503,0.524
1226,Mauritania,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.7406,0.6846,0.6463333333,0.6105
1227,Mauritania,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),530.2546813486,421.6058806245,364.2735639968,315.2779756081
1228,Mauritania,Total population with access to safe drinking-water (JMP) (%),44.6,50.7,56.7,57.9
1229,Mauritania,Rural population with access to safe drinking-water (JMP) (%),41.7,48.7,55.7,57.1
1230,Mauritania,Urban population with access to safe drinking-water (JMP) (%),47.3,52.4,57.4,58.4
1232,Mauritius,Rural population (1000 inhab),691.683,717.043,735.323,748.44
1233,Mauritius,Urban population (1000 inhab),510.129,516.868,518.048,516.698
1234,Mauritius,Population density (inhab/km2),589.1235294118,604.8475490196,614.4549019608,619.8524509804
1235,Mauritius,GDP per capita (current US$/inhab),4206.230126,6605.136144,9309.850416,10480.55486
1236,Mauritius,Human Development Index (HDI) [highest = 1] (-),0.688,0.728,0.768,0.793
1237,Mauritius,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.366,0.377,0.4188
1238,Mauritius,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),571.3594694234,510.5807734731,464.3044049883,487.1494560296
1239,Mauritius,Total population with access to safe drinking-water (JMP) (%),99.3,99.6,99.8,99.9
1240,Mauritius,Rural population with access to safe drinking-water (JMP) (%),99.0,99.4,99.7,99.8
1241,Mauritius,Urban population with access to safe drinking-water (JMP) (%),99.8,99.8,99.9,99.9
1243,Mexico,Rural population (1000 inhab),25708.164,25812.028,26092.527,26004.525
1244,Mexico,Urban population (1000 inhab),78647.444,86024.318,94735.78,103158.751
1245,Mexico,Population density (inhab/km2),51.7643012045,55.5750425071,59.7003405655,63.5199523514
1246,Mexico,GDP per capita (current US$/inhab),7398.832947,9412.835117,9940.500012,8967.170167
1247,Mexico,Human Development Index (HDI) [highest = 1] (-),0.714,0.738,0.752,0.765
1248,Mexico,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4676,0.4196,0.3863333333,0.3728
1249,Mexico,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),713.9713112166,723.1806994897,705.4666051527,704.006122138
1250,Mexico,Total population with access to safe drinking-water (JMP) (%),89.7,92.5,95.1,96.1
1251,Mexico,Rural population with access to safe drinking-water (JMP) (%),75.7,82.6,89.4,92.1
1252,Mexico,Urban population with access to safe drinking-water (JMP) (%),94.3,95.5,96.7,97.2
1276,Mongolia,Rural population (1000 inhab),994.464,918.387,899.714,973.037
1277,Mongolia,Urban population (1000 inhab),1449.195,1673.283,1914.512,2102.61
1278,Mongolia,Population density (inhab/km2),1.5620738818,1.6583254482,1.8059343273,1.9907638576
1279,Mongolia,GDP per capita (current US$/inhab),662.654194,1894.711774,4368.07713,3717.473332
1280,Mongolia,Human Development Index (HDI) [highest = 1] (-),0.609,0.671,0.719,0.729
1281,Mongolia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.403,0.3486666667,0.3254
1282,Mongolia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),206.9105152635,209.6007690074,173.5760778674,148.5008924827
1283,Mongolia,Total population with access to safe drinking-water (JMP) (%),58.0,61.5,63.7,64.4
1284,Mongolia,Rural population with access to safe drinking-water (JMP) (%),36.0,44.9,53.8,59.2
1285,Mongolia,Urban population with access to safe drinking-water (JMP) (%),73.1,70.6,68.0,66.4
1298,Morocco,Rural population (1000 inhab),13578.75,13640.554,13619.442,13613.878
1299,Morocco,Urban population (1000 inhab),15933.618,17585.327,19714.347,22125.702
1300,Morocco,Population density (inhab/km2),65.960738999,69.7876452805,74.4416078827,79.680338148
1301,Morocco,GDP per capita (current US$/inhab),1439.020782,2531.264795,2947.934765,3069.826908
1302,Morocco,Human Development Index (HDI) [highest = 1] (-),0.553,0.596,0.636,0.675
1303,Morocco,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6036,0.5022,0.4686666667,0.5249
1304,Morocco,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),503.00854517,387.4824061978,313.7907279668,293.1599798827
1305,Morocco,Total population with access to safe drinking-water (JMP) (%),79.3,81.9,84.6,85.4
1306,Morocco,Rural population with access to safe drinking-water (JMP) (%),59.4,62.1,64.8,65.3
1307,Morocco,Urban population with access to safe drinking-water (JMP) (%),96.3,97.4,98.5,98.7
1309,Mozambique,Rural population (1000 inhab),13501.744,15451.006,17242.761,19149.788
1310,Mozambique,Urban population (1000 inhab),5637.914,6737.381,8433.845,10519.046
1311,Mozambique,Population density (inhab/km2),23.4733856239,27.1126573094,31.1024343866,35.839047762
1312,Mozambique,GDP per capita (current US$/inhab),287.918273,462.340614,636.798114,445.554402
1313,Mozambique,Human Development Index (HDI) [highest = 1] (-),0.32,0.372,0.398,0.442
1314,Mozambique,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6764,0.6762,0.66,0.5907
1315,Mozambique,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),50.6311863535,53.8334130056,54.6263149551,51.4153748656
1316,Mozambique,Total population with access to safe drinking-water (JMP) (%),42.6,46.3,50.1,51.1
1317,Mozambique,Rural population with access to safe drinking-water (JMP) (%),28.8,32.5,36.3,37.0
1318,Mozambique,Urban population with access to safe drinking-water (JMP) (%),75.7,77.9,80.1,80.6
1320,Myanmar,Rural population (1000 inhab),34228.006,35246.67,36064.794,37187.526
1321,Myanmar,Urban population (1000 inhab),12912.214,13924.916,14921.72,16183.083
1322,Myanmar,Population density (inhab/km2),70.5038073279,73.3405385832,75.9894529922,78.8947031613
1323,Myanmar,GDP per capita (current US$/inhab),219.963624,370.793923,1196.664441,1245.826398
1324,Myanmar,Human Development Index (HDI) [highest = 1] (-),0.441,0.49,0.541,0.577
1325,Myanmar,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,,0.4396666667,0.4134
1326,Myanmar,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),697.9082775918,672.9223587167,649.4649753303,625.5118365237
1327,Myanmar,Total population with access to safe drinking-water (JMP) (%),68.9,74.6,80.3,80.6
1328,Myanmar,Rural population with access to safe drinking-water (JMP) (%),62.3,68.4,74.4,74.4
1329,Myanmar,Urban population with access to safe drinking-water (JMP) (%),86.0,89.3,92.7,92.7
1331,Namibia,Rural population (1000 inhab),1299.607,1277.117,1274.757,1292.108
1332,Namibia,Urban population (1000 inhab),662.54,802.798,989.177,1241.686
1333,Namibia,Population density (inhab/km2),2.2462033993,2.4342330976,2.6626345097,2.914790911
1334,Namibia,GDP per capita (current US$/inhab),1669.424049,4202.531843,5749.426723,5354.102245
1335,Namibia,Human Development Index (HDI) [highest = 1] (-),0.54,0.558,0.612,0.643
1336,Namibia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5126,0.4902,0.457,0.401
1337,Namibia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),155.5476221467,143.5325145999,131.2202618664,119.8684942727
1338,Namibia,Total population with access to safe drinking-water (JMP) (%),80.3,84.8,88.8,91.0
1339,Namibia,Rural population with access to safe drinking-water (JMP) (%),71.0,76.3,81.5,84.6
1340,Namibia,Urban population with access to safe drinking-water (JMP) (%),98.5,98.4,98.2,98.2
1353,Nepal,Rural population (1000 inhab),21068.143,22078.011,22822.896,23638.57
1354,Nepal,Urban population (1000 inhab),3498.199,4136.836,4827.029,5666.428
1355,Nepal,Population density (inhab/km2),167.9958350319,179.2538456312,183.3752072292,187.7475268379
1356,Nepal,GDP per capita (current US$/inhab),240.15081,418.036765,648.364406,873.142986
1357,Nepal,Human Development Index (HDI) [highest = 1] (-),0.456,0.49,0.548,0.574
1358,Nepal,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6468,0.5764,0.4846666667,0.4886
1359,Nepal,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),385.6864782438,359.976152447,351.8856809305,343.6908637276
1360,Nepal,Total population with access to safe drinking-water (JMP) (%),79.2,84.1,88.9,91.6
1361,Nepal,Rural population with access to safe drinking-water (JMP) (%),76.8,82.5,88.3,91.8
1362,Nepal,Urban population with access to safe drinking-water (JMP) (%),93.8,92.7,91.6,90.9
